description,headquarters,homepage,id,logo_path,name,origin_country,parent_company
"","","",320,null,"Trollhättan Film","SE",null
"","Stockholm, Sweden","http,//memfis.se/",321,"/pfp6VWF3tYfOHHVRHpYe2iGcYrf.png","Memfis Film","SE",null
"","","",322,null,"Sigma Films Ltd.",null,null
"","","",323,null,"Diana Productions, Inc.",null,null
"","","",324,null,"Flach Films",null,null
"","","",326,null,"Laura Ziskin Productions",null,null
"","Stockholm, Sweden","https,//www.nordiskfilm.se/",327,"/vodjjKlAbwGeERPjrAhxZMBGPUc.png","Nordisk Film","SE",null
"","","",328,null,TLA Releasing,null,null
"","","",329,null,"Typhoon Film",null,null
"","","",330,null,"Fanes Film",null,null
"","","",331,null,"SevenPictures",null,null
"","Los Angeles, California","http,//www.originalfilm.com",333,"/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png","Original Film","US",null
"","","",335,null,"Tig Productions",null,null
"","Munich","http,//www.w-b-film.de/?L=1",336,null,"Wiedemann & Berg Film","DE",null
"","","",337,null,"Creado Film",null,null
"","","",341,null,"Silent Hill DCP Inc.",null,null
"","","",342,null,"Davis-Films",null,null
"","","",343,null,Konami Corporation Ltd.,null,null
"","São Paulo SP","http,//www.o2filmes.com/",345,null,"O2 Filmes","BR",null
"","Rio de Janeiro, Brazil","",346,null,"Videofilmes","BR",null
"","","",347,null,"Centropolis Entertainment",null,null
"","Santa Monica, CA","",348,null,"Bedford Falls Productions","US",null
"","","",349,null,"Cruise-Wagner Productions",null,null
"","","",351,null,"Epoch Film Co.",null,null
"","Madrid, Spain","",353,null,"Kino Visión","ES",null
"","Paris, France","",354,null,"Orly Films","FR",null
"","Paris, France","",355,null,"R.P. Productions","FR",null
"","","",356,"/tSJvuFaLIp7l0ONLUiAHA61GbXu.png","TF1 Films Production","FR",null
"","","",357,null,"Vía Digital","ES",null
"","","",358,null,"Noel Gay Motion Picture Company",null,null
"","","",359,null,"Figment Films",null,null
"","","",360,null,"Geffen Pictures",null,null
"","","",361,null,"Blue Parrot Productions",null,null
"","","",362,null,"Film Holland",null,null
"","","",363,null,"Excelsior Films",null,null
"","London , England , UK","",364,null,"The Rank Organisation",null,null
"","","",365,null,"Nelson Entertainment",null,null
"","","",367,null,"Kemp Company",null,null
"","","",368,null,"Splendid Pictures",null,null
"","","",369,null,"Bungalow 78 Productions",null,null
"","Rome","",370,null,"Melampo Cinematografica","IT",null
"","","",371,null,"Cecchi Gori Group Tiger Cinematografica",null,null
"","","",372,null,"Groucho II Film Partnership",null,null
"","","",373,null,"Asymmetrical Productions",null,null
"","","",374,null,"Lost Highway Productions",null,null
"","","",375,null,"Heineken Branded Entertainment",null,null
"","","",376,null,"Industry Entertainment",null,null
"","","",377,null,"Bandeira Entertainment",null,null
"","","",379,null,"Truth and Soul Pictures Inc",null,null
"","","",380,null,"Thousand Words",null,null
"","","",381,null,"Campanile Productions",null,null
"","","",382,null,"Newman-Foreman Productions",null,null
"","","",383,null,"Gos",null,null
"","","",384,null,"MacDonald/Parkes Productions",null,null
"","","",385,null,"Stanley Kubrick Productions",null,null
"","","",386,null,"Paris Films Productions",null,null
"","","",387,null,"Five Films",null,null
"","","",388,null,"Horizon Pictures",null,null
"","Paris","http,//www.mactproductions.com",393,"/48DbAqzDc1ivGZrwGG2UAR70c0W.png","MACT Productions","FR",null
"","","",394,null,"Videofilms",null,null
"","","",395,null,"Riofilm",null,null
"","","",396,null,"SLM Production Group","US",null
"","","",397,null,"Révillon Frères",null,null
"","","",398,null,"Egg Films",null,null
"","Gangnam, Seoul, South Korea","",399,null,"Show East","KR",null
"","","",400,null,"Olympia-Film GmbH",null,null
"Founded by American filmmakers Walter Hill, David Giler, and Gordon Carroll. Most well known for producing the Alien franchise of films.","","",401,null,"Brandywine Productions Ltd.",null,null
"","","",402,null,"Luna Filmproduktion",null,null
"","","",403,null,"Bioskop-Film GmbH",null,null
"","","",404,null,"Allegro-Film",null,null
"","","",405,null,"Giorgos Papalios Productions",null,null
"","","",406,null,"Havoc",null,null
"","","",407,null,"Dreamland Productions",null,null
"","","",408,null,"Avenue Entertainment",null,null
"","","",410,null,"Sovkino","SU",null
"","","",412,null,"Wendy Finerman Productions",null,null
"","","",413,null,"Proscenium Films",null,null
"","","",414,null,"Fountainbridge Films",null,null
"","","",415,null,"Laurence Mark Productions",null,null
"","","",416,null,"Python (Monty) Pictures Limited",null,null
"","","",417,"/w7d3hoHQaC0XwjrxEG1yPeuUhu5.png","Australian Film Commission","AU",null
"","","",418,null,"New South Wales Film & Television Office","AU",null
"","","",419,null,"Embassy Pictures Corporation","US",null
""," Burbank, California, USA","http,//www.marvel.com",420,"/hUzeosd33nzE5MCNsZxCGEKTXaQ.png","Marvel Studios","US",null
"","","",421,null,"Amen Ra Films",null,null
"","Beverly Hills, California, USA","http,//phantomfour.com",423,"/uvA6e2O31qaonsbYd8tjvgqmNXh.png","Phantom Four","US",null
"","","",424,null,"Babelsberg Film GmbH",null,null
"","","",425,null,"teamWorx",null,null
"","","",426,null,"First National Bank of Chicago (London Branch)",null,null
"","","",427,null,"PSO International",null,null
"","","",428,null,"Talía Films","ES",null
"","Burbank, California, United States","http,//www.dccomics.com/",429,"/ocBJG7cGdvde3UDlN0v8BEL5Zuw.png","DC Comics","US",null
"","","",430,null,"Lonely Film Productions GmbH & Co. KG.",null,null
"","","",431,null,"The Donners' Company","US",null
"","","",432,null,"Branded Entertainment/Batfilm Productions",null,null
"","Los Angeles, California","",433,null,"Weed Road Pictures","US",null
"","","",434,null,"3 Art Entertainment",null,null
"","Los Angeles","",435,"/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png","Di Bonaventura Pictures","US",null
"","Burbank, California","http,//1492pictures.com",436,"/A7WCkG3F0NFvjGCwUnclpGdIu9E.png","1492 Pictures","US",null
"","Borehamwood, Hertfordshire, England","",437,"/nu20mtwbEIhUNnQ5NXVhHsNknZj.png","Heyday Films","GB",null
"","","",438,null,"Mercury",null,null
"","","",439,null,"Prokino Filmproduktion",null,null
"","","",441,null,Columbia Pictures Corporation,null,null
"","London, England","http,//www.bigtalkproductions.com",443,"/deewJi8ncCh6Sc2STL91wvZ4O5X.png","Big Talk Productions","GB",null
"","Los Angeles, California, United States","",444,"/42UPdZl6B2cFXgNUASR8hSt9mpS.png","Dune Entertainment","US",null
"","","",445,null,"Major Studio Partners",null,null
"","Washington, D.C.","http,//thinkfilm-inc.com",446,null,"thinkfilm","US",null
"","","",448,null,"Key Films",null,null
"","","",449,null,"Virtual Studios","US",null
"","","",450,null,"Anarchos Productions",null,null
"","","",451,null,"Medienboard Berlin-Brandenburg GmbH",null,null
"","","",452,null,"Maurice McEndree Productions",null,null
"","","",453,null,"Walter Reade Organization Inc.",null,null
"","","",454,null,"Faces International Films",null,null
"","","",455,null,"Permut Presentations",null,null
"","","",456,null,"WCG Entertainment Productions",null,null
"","","",457,null,"Constellation Films",null,null
"","","",458,null,"Douglas/Reuther Productions",null,null
"","","",459,null,"Les Films Pomereu",null,null
"","","",460,null,"Horse Film","IT",null
"","","",461,null,"Les Films Christian Fechner",null,null
"","","",462,null,"Patalex IV Productions Limited",null,null
"","","",463,null,"Michael White Productions",null,null
"","","",464,null,"National Film Trustee Company",null,null
